Diện tích,Mức giá,Mặt tiền,Số tầng,Đường vào,Số phòng ngủ,Số toilet
34.0,4.3,3.0,5.0,3.0,3.0,3.0
50.0,13.0,4.0,4.0,4.0,3.0,3.0
83.0,16.8,4.0,4.0,8.0,4.0,4.0
39.0,8.9,6.0,4.0,10.0,5.0,4.0
78.0,65.0,5.0,8.0,25.0,8.0,8.0
25.0,4.85,4.0,4.0,4.0,3.0,3.0
35.0,5.6,3.0,4.0,3.0,4.0,3.0
30.0,3.75,3.0,5.0,3.0,3.0,4.0
320.0,150.0,9.0,4.0,6.0,4.0,4.0
70.0,26.8,5.0,5.0,6.0,5.0,5.0
46.0,7.8,3.0,7.0,4.0,7.0,6.0
25.0,3.4,4.0,2.0,2.0,2.0,1.0
45.0,7.5,4.0,5.0,3.0,10.0,10.0
525.0,240.0,15.0,9.0,15.0,86.0,86.0
82.0,19.2,5.0,5.0,12.0,6.0,5.0
280.0,45.0,20.0,4.0,30.0,6.0,6.0
78.0,18.3,4.0,5.0,12.0,5.0,5.0
33.0,4.9,4.0,6.0,3.0,4.0,4.0
60.0,13.6,10.0,5.0,7.0,4.0,4.0
55.0,16.9,11.0,7.0,9.0,6.0,7.0
55.0,24.5,5.0,8.0,9.0,8.0,8.0
70.0,22.3,5.0,4.0,5.0,4.0,4.0
60.0,14.5,5.0,6.0,8.0,5.0,5.0
48.0,7.5,38.0,4.0,3.0,4.0,3.0
60.0,13.8,5.0,4.0,8.0,4.0,3.0
60.0,14.8,5.0,5.0,7.0,5.0,5.0
70.0,17.5,7.0,5.0,20.0,7.0,7.0
114.0,36.5,6.0,8.0,12.0,5.0,6.0
42.0,6.1,5.0,5.0,4.0,6.0,5.0
34.0,7.6,4.0,4.0,4.0,3.0,3.0
31.0,7.65,4.0,4.0,8.0,3.0,3.0
110.0,43.6,18.0,7.0,40.0,3.0,5.0
134.0,40.0,6.0,4.0,7.0,5.0,4.0
92.0,15.8,4.0,6.0,4.0,4.0,5.0
50.0,13.8,4.0,5.0,12.0,4.0,4.0
230.0,0.29,10.0,4.0,15.0,4.0,4.0
212.0,0.6,12.0,4.0,25.0,9.0,4.0
240.0,58.0,11.0,3.0,8.0,4.0,3.0
50.0,11.5,3.0,5.0,3.0,5.0,5.0
56.0,12.2,4.0,4.0,8.0,5.0,5.0
51.0,8.5,3.0,2.0,2.0,2.0,2.0
54.0,9.8,4.0,4.0,5.0,4.0,4.0
120.0,38.0,6.0,5.0,50.0,3.0,3.0
126.0,36.8,5.0,6.0,24.0,6.0,6.0
62.0,9.9,10.0,1.0,26.0,1.0,1.0
35.0,7.8,3.0,6.0,6.0,3.0,5.0
35.0,2.54,4.0,3.0,2.0,4.0,3.0
36.0,4.5,5.0,5.0,3.0,6.0,4.0
282.0,79.0,14.0,4.0,14.0,5.0,4.0
45.0,8.0,4.0,5.0,2.0,6.0,4.0
42.0,12.8,4.0,5.0,5.0,5.0,4.0
61.0,0.3,5.0,3.0,6.0,5.0,3.0
50.0,6.8,4.0,3.0,5.0,2.0,2.0
42.0,17.8,6.0,4.0,4.0,4.0,3.0
49.0,12.1,4.0,6.0,3.0,6.0,5.0
41.0,7.35,4.0,5.0,5.0,3.0,4.0
45.0,9.8,3.0,4.0,5.0,4.0,3.0
40.0,8.0,4.0,5.0,35.0,4.0,5.0
35.0,6.8,36.0,5.0,3.0,3.0,5.0
99.0,43.9,14.0,3.0,40.0,3.0,3.0
115.0,28.5,5.0,3.0,13.0,4.0,5.0
35.0,5.35,5.0,5.0,3.0,3.0,4.0
40.0,9.5,5.0,5.0,4.0,4.0,3.0
42.0,7.8,4.0,5.0,3.0,3.0,4.0
32.0,4.5,5.0,5.0,5.0,3.0,4.0
38.0,15.3,6.0,7.0,15.0,6.0,6.0
55.0,12.5,5.0,8.0,6.0,6.0,6.0
120.0,25.0,6.0,4.0,10.0,6.0,6.0
45.0,6.6,4.0,5.0,3.0,5.0,4.0
95.0,15.3,4.0,4.0,4.0,4.0,3.0
85.0,14.5,5.0,4.0,6.0,2.0,2.0
50.0,14.5,4.0,4.0,6.0,4.0,4.0
45.0,19.5,5.0,8.0,7.0,5.0,7.0
101.0,17.0,5.0,5.0,10.0,5.0,5.0
60.0,13.9,5.0,5.0,6.0,3.0,4.0
90.0,25.0,6.0,6.0,6.0,14.0,15.0
40.0,13.87,4.0,6.0,6.0,5.0,5.0
39.0,6.9,4.0,5.0,2.0,3.0,4.0
45.0,2.2,3.0,2.0,3.0,3.0,1.0
85.0,18.8,4.0,4.0,6.0,4.0,3.0
55.0,9.4,4.0,4.0,2.0,6.0,4.0
42.0,3.25,4.0,4.0,3.0,7.0,7.0
55.0,12.5,4.0,6.0,3.0,9.0,9.0
61.0,15.3,5.0,6.0,4.0,8.0,5.0
66.0,12.6,5.0,5.0,8.0,6.0,4.0
60.0,14.0,4.0,5.0,12.0,5.0,5.0
150.0,29.8,9.0,4.0,6.0,5.0,6.0
45.0,5.75,4.0,4.0,3.0,4.0,3.0
69.0,11.5,3.0,4.0,3.0,5.0,3.0
76.0,15.0,4.0,6.0,3.0,8.0,8.0
38.0,6.4,4.0,5.0,3.0,5.0,5.0
48.0,5.2,7.0,4.0,2.0,3.0,4.0
30.0,6.2,3.0,5.0,2.0,4.0,4.0
46.0,6.7,4.0,4.0,2.0,5.0,4.0
370.0,0.27,12.0,4.0,60.0,6.0,5.0
95.0,16.5,9.0,5.0,8.0,6.0,4.0
148.0,37.0,12.0,4.0,12.0,5.0,6.0
151.0,22.0,7.0,5.0,12.0,5.0,6.0
31.0,7.1,4.0,6.0,3.0,4.0,5.0
50.0,15.2,4.0,6.0,12.0,4.0,4.0
260.0,48.0,13.0,3.0,21.0,5.0,4.0
56.0,13.0,14.0,5.0,500.0,4.0,4.0
72.0,15.8,5.0,7.0,5.0,4.0,4.0
41.0,15.3,5.0,4.0,200.0,2.0,3.0
40.0,8.9,3.0,4.0,4.0,7.0,4.0
160.0,0.225,9.0,5.0,15.0,7.0,5.0
82.0,43.0,5.0,7.0,40.0,3.0,5.0
90.0,25.5,7.0,8.0,6.0,10.0,7.0
45.0,8.0,3.0,1.0,20.0,1.0,1.0
92.0,26.8,6.0,5.0,40.0,6.0,7.0
46.0,6.3,4.0,6.0,5.0,5.0,5.0
185.0,42.0,10.0,4.0,20.0,5.0,4.0
100.0,56.0,8.0,9.0,10.0,8.0,8.0
110.0,53.0,4.0,9.0,10.0,10.0,10.0
125.0,62.5,6.0,7.0,20.0,6.0,7.0
256.0,148.0,5.0,9.0,20.0,35.0,38.0
107.0,61.99,5.0,8.0,35.0,8.0,8.0
60.0,12.5,6.0,6.0,4.0,13.0,5.0
86.0,10.89,3.0,4.0,2.0,7.0,7.0
454.0,318.0,16.0,4.0,21.0,6.0,6.0
406.0,220.0,13.0,10.0,40.0,15.0,15.0
3.3,720.0,70.0,19.0,24.0,16.0,19.0
588.0,600.0,25.0,12.0,42.0,17.0,17.0
484.0,410.0,16.0,10.0,35.0,20.0,20.0
500.0,50.0,11.0,5.0,25.0,10.0,6.0
33.0,5.65,6.0,5.0,3.0,3.0,4.0
35.0,3.4,3.0,4.0,2.0,4.0,2.0
30.0,4.5,3.0,5.0,3.0,4.0,4.0
38.0,9.6,3.0,4.0,6.0,4.0,3.0
36.0,4.65,3.0,5.0,2.0,3.0,3.0
56.0,8.3,4.0,4.0,3.0,4.0,4.0
68.0,15.0,5.0,4.0,8.0,4.0,4.0
176.0,31.5,11.0,4.0,15.0,5.0,5.0
52.0,16.6,5.0,8.0,4.0,6.0,7.0
106.0,13.2,7.0,3.0,3.0,3.0,3.0
203.0,47.5,9.0,4.0,18.0,6.0,5.0
223.0,44.5,10.0,3.0,13.0,4.0,4.0
63.0,17.0,4.0,5.0,13.0,4.0,3.0
75.0,22.8,4.0,5.0,7.0,6.0,5.0
35.0,6.5,3.0,6.0,15.0,4.0,5.0
232.0,42.0,10.0,4.0,8.0,5.0,4.0
50.0,7.55,3.0,6.0,2.0,3.0,5.0
42.0,6.7,3.0,4.0,3.0,4.0,4.0
35.0,5.1,4.0,5.0,3.0,3.0,4.0
32.0,5.2,4.0,5.0,3.0,3.0,4.0
220.0,54.0,12.0,4.0,25.0,4.0,5.0
42.0,8.3,4.0,5.0,4.0,4.0,5.0
300.0,0.18,15.0,3.0,50.0,6.0,5.0
206.0,39.0,10.0,4.0,13.0,4.0,4.0
48.0,11.8,39.0,5.0,12.0,5.0,4.0
70.0,24.5,4.0,9.0,30.0,20.0,19.0
70.0,10.9,4.0,7.0,5.0,5.0,5.0
100.0,14.3,5.0,5.0,12.0,5.0,5.0
135.0,0.2,9.0,4.0,17.0,5.0,4.0
250.0,58.5,12.0,3.0,15.0,4.0,5.0
50.0,7.65,13.0,2.0,3.0,3.0,3.0
80.0,20.5,8.0,9.0,3.0,21.0,21.0
105.0,19.0,5.0,5.0,20.0,6.0,5.0
80.0,39.5,4.0,5.0,15.0,7.0,7.0
43.0,7.8,43.0,4.0,2.0,3.0,3.0
144.0,22.0,8.0,3.0,7.0,4.0,5.0
600.0,0.017,12.0,1.0,11.0,3.0,2.0
268.0,73.5,15.0,4.0,15.0,8.0,9.0
275.0,250.0,17.0,6.0,30.0,6.0,6.0
255.0,200.0,20.0,9.0,40.0,9.0,9.0
108.0,62.0,5.0,8.0,30.0,8.0,8.0
250.0,26.0,10.0,3.0,30.0,5.0,4.0
98.0,38.0,7.0,5.0,11.0,4.0,5.0
250.0,45.0,12.0,3.0,50.0,5.0,4.0
96.0,19.5,6.0,4.0,11.0,4.0,4.0
165.0,34.0,9.0,4.0,20.0,5.0,4.0
150.0,41.0,17.0,4.0,30.0,5.0,4.0
45.0,4.3,3.0,4.0,3.0,4.0,3.0
31.0,4.7,4.0,3.0,2.0,3.0,3.0
142.0,34.0,16.0,5.0,20.0,6.0,6.0
69.0,15.8,13.0,3.0,11.0,4.0,3.0
47.0,6.55,5.0,6.0,4.0,10.0,10.0
32.0,3.1,3.0,5.0,6.0,4.0,5.0
85.0,49.5,5.0,5.0,30.0,6.0,5.0
35.0,6.9,4.0,6.0,3.0,4.0,4.0
52.0,7.0,4.0,4.0,3.0,5.0,4.0
82.0,11.9,5.0,8.0,2.0,17.0,14.0
30.0,6.98,4.0,5.0,6.0,4.0,4.0
90.0,18.0,6.0,6.0,22.0,4.0,5.0
118.0,13.8,8.0,2.0,2.0,5.0,5.0
75.0,23.5,5.0,5.0,17.0,5.0,5.0
75.0,16.0,5.0,5.0,10.0,5.0,5.0
80.0,45.0,6.0,8.0,20.0,8.0,8.0
78.0,32.0,6.0,5.0,30.0,6.0,5.0
82.0,29.9,12.0,2.0,12.0,3.0,3.0
30.0,4.5,34.0,4.0,5.0,2.0,2.0
90.0,15.0,6.0,3.0,5.0,3.0,4.0
165.0,38.5,9.0,4.0,13.0,4.0,5.0
45.0,8.5,3.0,5.0,5.0,6.0,4.0
30.0,4.9,4.0,5.0,2.0,3.0,4.0
